report_date,total_purchase_amt,direct_purchase_amt,purchase_bal_amt,purchase_bank_amt,share_amt,total_redeem_amt,consume_amt,transfer_amt,tftobal_amt,tftocard_amt,tBalance,yBalance,mfd_daily_yield,mfd_7daily_yield,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y,is_shibor_observed,days_since_observation
2013-11-12,148469647,147913613,75656414,72257199,556034,131263524,12308127,118955397,13535932,105419465,4085967334,4068761211,1.4577,5.028,3.329,3.545,4.305,4.865,4.6978,4.22,4.27,4.4,True,0
2013-11-13,174554976,174000238,104660075,69340163,554738,79121440,14898738,64222702,36973694,27249008,4181400870,4085967334,1.4097,5.093,3.336,3.635,4.359,5.251,4.699,4.22,4.27,4.4,True,0
2013-11-14,167996058,167462695,85700589,81762106,533363,52554150,8088009,44466141,22737277,21728864,4296842778,4181400870,1.3294,5.112,4.188,4.193,4.485,5.325,4.6997,4.2202,4.27,4.4,True,0
2013-11-15,124270704,123661256,44129861,79531395,609448,58210254,9874031,48336223,13669346,34666877,4362903228,4296842778,1.4738,5.212,4.454,5.311,5.902,5.949,4.706,4.2207,4.27,4.4,True,0
2013-11-16,118085705,117530834,62614420,54916414,554871,28996272,7299663,21696609,15626737,6069872,4451992661,4362903228,1.3102,5.224,4.454,5.311,5.902,5.949,4.706,4.2207,4.27,4.4,False,1
2013-11-17,111786622,111233475,45938489,65294986,553147,42358155,10008509,32349646,17699482,14650164,4521421128,4451992661,1.31,5.235,4.454,5.311,5.902,5.949,4.706,4.2207,4.27,4.4,False,2
2013-11-18,195766477,195210552,94427782,100782770,555925,136916782,14312742,122604040,41227427,81376613,4580270823,4521421128,1.321,5.139,4.513,5.357,6.198,6.405,4.7095,4.2206,4.27,4.4,True,0
2013-11-19,131365419,130801756,47990602,82811154,563663,70308235,14639949,55668286,15545895,40122391,4641328007,4580270823,1.3377,5.073,4.075,4.83,5.532,6.121,4.71,4.2206,4.27,4.4,True,0
2013-11-20,166163002,165560984,56087750,109473234,602018,86951218,13264281,73686937,22879788,50807149,4720539791,4641328007,1.3352,5.033,4.057,4.751,5.43,6.179,4.7092,4.2207,4.27,4.4,True,0
2013-11-21,221166938,220554500,118123549,102430951,612438,74733962,8839246,65894716,16100622,49794094,4866972767,4720539791,1.3442,5.041,3.889,4.708,5.599,6.283,4.711,4.2207,4.27,4.4,True,0
2013-11-22,128528687,127901717,42947137,84954580,626970,82717921,20387183,62330738,24678325,37652413,4912783533,4866972767,1.3502,4.973,3.899,4.763,5.916,6.378,4.7118,4.2207,4.27,4.4,True,0
2013-11-23,89109018,88464354,28994052,59470302,644664,48882131,6482889,42399242,11475436,30923806,4953010420,4912783533,1.3469,4.993,3.899,4.763,5.916,6.378,4.7118,4.2207,4.27,4.4,False,1
2013-11-24,102394991,101754797,57943382,43811415,640194,85555947,7319621,78236326,9204891,69031435,4969849464,4953010420,1.3467,5.013,3.899,4.763,5.916,6.378,4.7118,4.2207,4.27,4.4,False,2
2013-11-25,147143602,146505434,74040394,72465040,638168,70113127,23796084,46317043,9657210,36659833,5046879939,4969849464,1.361,5.035,3.847,4.74,6.165,6.378,4.7132,4.2207,4.27,4.4,True,0
2013-11-26,258037702,257385328,167619964,89765364,652374,65802983,16533187,49269796,10910790,38359006,5239114658,5046879939,1.3774,5.057,3.746,4.6775,5.95,6.582,4.7156,4.2207,4.27,4.4,True,0
2013-11-27,134774128,134089685,57779508,76310177,684443,86129498,13441519,72687979,8395361,64292618,5287759288,5239114658,1.3755,5.079,3.764,4.663,5.968,6.704,4.7211,4.2207,4.27,4.4,True,0
2013-11-28,139760425,139046863,58319586,80727277,713562,61453591,12326030,49127561,20095247,29032314,5366066122,5287759288,1.3862,5.102,3.746,4.823,6.295,6.555,4.7181,4.2207,4.27,4.4,True,0
2013-11-29,122536344,121810671,43456530,78354141,725673,123982166,12980677,111001489,15313495,95687994,5364620300,5366066122,1.3879,5.123,3.726,4.666,6.066,6.365,4.7229,4.2207,4.27,4.4,True,0
2013-11-30,116865492,116137403,58697397,57440006,728089,119660311,10367540,109292771,21919187,87373584,5361825481,5364620300,1.3878,5.145,3.726,4.666,6.066,6.365,4.7229,4.2207,4.27,4.4,False,1
2013-12-01,137889992,137174775,59786618,77388157,715217,94632233,20461768,74170465,15707290,58463175,5405083240,5361825481,1.3876,5.168,3.726,4.666,6.066,6.365,4.7229,4.2207,4.27,4.4,False,2
2013-12-02,345313258,344606438,181458812,163147626,706820,128465086,31233938,97231148,47382011,49849137,5621931412,5405083240,1.3882,5.182,3.748,4.571,5.93,6.263,4.7197,4.2207,4.27,4.4,True,0
2013-12-03,268666856,267952466,96712045,171240421,714390,101662045,25720023,75942022,22917759,53024263,5788936223,5621931412,1.399,5.194,3.725,4.6,5.913,6.28,4.7365,4.2216,4.2701,4.4,True,0
2013-12-04,219456372,218681591,102384322,116297269,774781,69981329,15845867,54135462,7852080,46283382,5938411266,5788936223,1.3982,5.207,3.7235,4.577,5.75,6.235,4.7778,4.232,4.2706,4.4,True,0
2013-12-05,190825287,190022709,69146648,120876061,802578,118256819,13825962,104430857,39525525,64905332,6010979734,5938411266,1.4025,5.216,3.703,4.558,5.509,6.08,4.885,4.2432,4.2707,4.4,True,0
2013-12-06,152197159,151391317,55634193,95757124,805842,82625571,10624967,72000604,27086231,44914373,6080551322,6010979734,1.3848,5.214,3.7,4.55,5.058,5.596,5.167,4.2513,4.2739,4.405,True,0
2013-12-07,138882605,138063886,70946815,67117071,818719,71916047,14079254,57836793,7621422,50215371,6147517880,6080551322,1.3815,5.211,3.7,4.55,5.058,5.596,5.167,4.2513,4.2739,4.405,False,1
2013-12-08,124886903,124072382,39666888,84405494,814521,76314292,19207555,57106737,7934169,49172568,6196090491,6147517880,1.3809,5.207,3.7,4.55,5.058,5.596,5.167,4.2513,4.2739,4.405,False,2
2013-12-09,174652812,173818023,58079956,115738067,834789,133355299,20902701,112452598,12725637,99726961,6237388004,6196090491,1.4227,5.226,3.62,4.485,4.882,5.45,5.2581,4.3302,4.3553,4.4689,True,0
2013-12-10,179471612,178632183,64157045,114475138,839429,147147341,15768961,131378380,27083516,104294864,6269712275,6237388004,1.4271,5.241,3.558,4.444,4.72,5.296,5.338,4.3995,4.4319,4.5237,True,0
2013-12-11,239916977,239051211,138677071,100374140,865766,110314592,16209163,94105429,32858604,61246825,6399314660,6269712275,1.42,5.253,3.51,4.329,4.55,5.238,5.332,4.4612,4.4969,4.5771,True,0
2013-12-12,140360007,139456440,37802740,101653700,903567,92090275,44454483,47635792,11324110,36311682,6447584392,6399314660,1.4663,5.288,3.46,4.305,4.51,5.4155,5.3222,4.5197,4.5547,4.6247,True,0
2013-12-13,164672690,163756758,51626995,112129763,915932,90778214,31197293,59580921,23943149,35637772,6521478868,6447584392,1.4527,5.325,3.4321,4.3,4.41,5.423,5.335,4.5736,4.6072,4.6657,True,0
2013-12-14,129045596,128124144,60894040,67230104,921452,52234651,15765191,36469460,13547421,22922039,6598289813,6521478868,1.4493,5.363,3.4321,4.3,4.41,5.423,5.335,4.5736,4.6072,4.6657,False,1
2013-12-15,205882387,204965245,126617857,78347388,917142,54757146,18057269,36699877,8502234,28197643,6749415054,6598289813,1.4491,5.4,3.4321,4.3,4.41,5.423,5.335,4.5736,4.6072,4.6657,False,2
2013-12-16,196489931,195558740,76785117,118773623,931191,156157326,32671212,123486114,31097965,92388149,6789747659,6749415054,1.4771,5.43,3.447,4.358,4.389,5.557,5.331,4.6207,4.6553,4.7045,True,0
2013-12-17,193980797,193053100,62804752,130248348,927697,116537843,12025370,104512473,14476061,90036412,6867190613,6789747659,1.4532,5.444,3.47,4.459,4.552,6.235,5.3537,4.6608,4.6957,4.7335,True,0
2013-12-18,180215804,179244717,44534059,134710658,971087,202220872,10725473,191495399,50257836,141237563,6845185545,6867190613,1.4542,5.463,3.588,5.902,5.079,6.765,5.385,4.7054,4.7423,4.7634,True,0
2013-12-19,233631357,232618878,97470048,135148830,1012479,164023344,15536057,148487287,21715384,126771903,6914793558,6845185545,1.5167,5.491,3.846,6.472,6.218,7.1012,5.4239,4.7487,4.7816,4.8013,True,0
2013-12-20,133867400,132849845,39915508,92934337,1017555,153678963,19964515,133714448,33286473,100427975,6894981995,6914793558,1.513,5.524,3.927,7.654,7.003,7.53,5.458,4.7818,4.8135,4.8353,True,0
2013-12-21,112000779,110979622,43066009,67913613,1021157,83151594,10610110,72541484,22399613,50141871,6923831180,6894981995,1.5109,5.558,3.927,7.654,7.003,7.53,5.458,4.7818,4.8135,4.8353,False,1
2013-12-22,154543217,153531785,70446218,83085567,1011432,83998249,20715917,63282332,16987033,46295299,6994376148,6923831180,1.5107,5.592,3.927,7.654,7.003,7.53,5.458,4.7818,4.8135,4.8353,False,2
2013-12-23,198747367,197669761,70138872,127530889,1077606,138478245,24846016,113632229,40662170,72970059,7054645270,6994376148,1.6189,5.67,4.515,8.843,8.246,7.656,5.516,4.8151,4.8422,4.8656,True,0
2013-12-24,305406334,304333324,189794936,114538388,1073010,118607911,21559120,97048791,25956197,71092594,7241443693,7054645270,1.611,5.757,4.145,6.197,5.761,6.605,5.5174,4.8369,4.8622,4.8856,True,0
2013-12-25,380076148,378896458,207488097,171408361,1179690,172755480,27956029,144799451,25199652,119599799,7448764361,7241443693,1.7012,5.893,4.05,5.616,5.941,6.509,5.522,4.8588,4.8823,4.9034,True,0
2013-12-26,220287409,219035100,86180958,132854142,1252309,241852564,21372055,220480509,21879648,198600861,7427199206,7448764361,1.7674,6.032,4.001,5.329,6.14,6.57,5.538,4.8763,4.8982,4.9203,True,0
2013-12-27,211118967,209818922,71581657,138237265,1300045,163522548,22373377,141149171,16737992,124411179,7474795625,7427199206,1.803,6.192,3.513,5.067,5.949,6.492,5.5465,4.8942,4.9142,4.9361,True,0
2013-12-28,192808006,191506544,82079222,109427322,1301462,61383220,18517636,42865584,10339282,32526302,7606220411,7474795625,1.7889,6.346,3.513,5.067,5.949,6.492,5.5465,4.8942,4.9142,4.9361,False,1
2013-12-29,161473347,160179393,80308840,79870553,1293954,55129989,15925186,39204803,5655465,33549338,7712563769,7606220411,1.7886,6.5,3.513,5.067,5.949,6.492,5.5465,4.8942,4.9142,4.9361,False,2
2013-12-30,286358778,285062954,121679259,163383695,1295824,179826624,20652334,159174290,40393506,118780784,7819095923,7712563769,1.7947,6.598,3.205,4.841,5.907,6.122,5.553,4.9068,4.9277,4.9485,True,0
2013-12-31,265851934,264556746,115229028,149327718,1295188,134232530,23640780,110591750,19505479,91086271,7950715327,7819095923,1.7869,6.696,3.148,5.25,5.962,5.913,5.5565,4.9205,4.94,4.9606,True,0
2014-01-01,330926565,329555717,93419831,236135886,1370848,77367755,21750788,55616967,15782631,39834336,8204274137,7950715327,1.7807,6.74,3.148,5.25,5.962,5.913,5.5565,4.9205,4.94,4.9606,False,1
2014-01-02,434956739,433531489,145093807,288437682,1425250,190155450,22941048,167214402,26734732,140479670,8449075426,8204274137,1.8092,6.763,3.131,4.981,5.759,5.91,5.5657,4.9306,4.9501,4.9677,True,0
2014-01-03,342074805,340640596,143850914,196789682,1434209,127714255,23841309,103872946,27165547,76707399,8663435976,8449075426,1.7847,6.753,3.006,4.711,5.524,6.201,5.5661,4.9389,4.9582,4.9757,True,0
2014-01-04,186085910,184607251,49062116,135545135,1478659,99869074,21965772,77903302,10496655,67406647,8749652812,8663435976,1.7751,6.745,3.006,4.711,5.524,6.201,5.5661,4.9389,4.9582,4.9757,False,1
2014-01-05,206030707,204559800,61986069,142573731,1470907,156781996,20843557,135938439,37596243,98342196,8798901523,8749652812,1.7748,6.738,3.006,4.711,5.524,6.201,5.5661,4.9389,4.9582,4.9757,False,2
2014-01-06,442494042,441042872,198531158,242511714,1451170,190917629,25009899,165907730,35042141,130865589,9050477936,8798901523,1.774,6.726,2.92,4.633,5.433,6.475,5.5732,4.9476,4.966,4.9824,True,0
2014-01-07,589726496,588222460,231240835,356981625,1504036,137972793,27531206,110441587,23886191,86555396,9502231639,9050477936,1.8086,6.738,2.875,4.259,5.074,5.925,5.576,4.9547,4.9713,4.9869,True,0
2014-01-08,264025160,262398195,73458333,188939862,1626965,213880074,24398384,189481690,22175353,167306337,9552376725,9502231639,1.822,6.761,2.83,4.126,4.927,5.65,5.5821,4.9585,4.9742,4.9904,True,0
2014-01-09,280698487,279057823,115504758,163553065,1640664,140391237,25855665,114535572,27071650,87463922,9692683975,9552376725,1.7647,6.737,2.794,4.02,4.799,6.314,5.5837,4.964,4.9776,4.9929,True,0
2014-01-10,237797636,236112121,81263442,154848679,1685515,117259153,26458750,90800403,26710276,64090127,9813222458,9692683975,1.7878,6.738,2.766,4.041,4.75,5.675,5.5841,4.9673,4.9818,4.9934,True,0
2014-01-11,243403438,241731696,147087308,94644388,1671742,71530182,30620108,40910074,14724475,26185599,9985095714,9813222458,1.7439,6.721,2.766,4.041,4.75,5.675,5.5841,4.9673,4.9818,4.9934,False,1
2014-01-12,228255344,226592609,70170242,156422367,1662735,141505812,24005816,117499996,26923654,90576342,10071845246,9985095714,1.7434,6.703,2.766,4.041,4.75,5.675,5.5841,4.9673,4.9818,4.9934,False,2
2014-01-13,447207050,445546064,140961565,304584499,1660986,178923772,21903534,157020238,31182941,125837297,10340128524,10071845246,1.7584,6.695,2.738,4.013,4.636,6.465,5.5849,4.9715,4.984,4.9955,True,0
2014-01-14,356907128,355227951,136709487,218518464,1679177,159778389,29631300,130147089,26903661,103243428,10537257263,10340128524,1.7634,6.67,2.7395,4.0036,4.69,6.4842,5.5865,4.9742,4.9855,4.9977,True,0
2014-01-15,391408718,389643679,64750474,324893205,1765039,177618247,38808458,138809789,28292066,110517723,10751047734,10537257263,1.7295,6.618,2.7513,3.965,4.641,6.742,5.5846,4.9757,4.9896,4.9997,True,0
2014-01-16,374947083,373159557,106140501,267019056,1787526,153167426,23865821,129301605,26988051,102313554,10972827391,10751047734,1.723,6.595,2.7723,4.256,4.679,6.693,5.5812,4.9788,4.9913,4.9999,True,0
2014-01-17,345426853,343608394,88624595,254983799,1818459,127385210,21879996,105505214,18305723,87199491,11190869034,10972827391,1.7139,6.554,2.817,4.776,4.735,6.964,5.5868,4.9821,4.9918,5.0002,True,0
2014-01-18,233200688,231380252,89497089,141883163,1820436,142869842,36540346,106329496,31449193,74880303,11281199880,11190869034,1.6772,6.517,2.817,4.776,4.735,6.964,5.5868,4.9821,4.9918,5.0002,False,1
2014-01-19,185082022,183275869,45738067,137537802,1806153,117629351,29952235,87677116,21831199,65845917,11348652551,11281199880,1.6767,6.48,2.817,4.776,4.735,6.964,5.5868,4.9821,4.9918,5.0002,False,2
2014-01-20,335761027,333912224,66330226,267581998,1848803,442996084,45103607,397892477,36654039,361238438,11241417494,11348652551,1.7235,6.46,3.888,6.329,5.538,7.472,5.5893,4.9854,4.993,5.0001,True,0
2014-01-21,412854611,411045427,105334037,305711390,1809184,302825136,48810525,254014611,34959044,219055567,11351446969,11241417494,1.6958,6.423,3.641,5.535,5.562,7.427,5.591,4.9873,4.9936,5.0001,True,0
2014-01-22,498730606,496881726,116679482,380202244,1848880,292856188,35396154,257460034,50621581,206838453,11557321387,11351446969,1.6853,6.398,3.676,5.224,5.56,6.95,5.5924,4.9887,4.9935,5.0001,True,0
2014-01-23,481450097,479509602,102994484,376515118,1940495,209024328,37120406,171903922,30727063,141176859,11829747156,11557321387,1.7491,6.413,3.7,5.293,5.94,6.708,5.5926,4.9904,4.9943,5.0001,True,0
2014-01-24,614103894,612133670,144614549,467519121,1970224,345829001,37926576,307902425,29754999,278147426,12098022049,11829747156,1.7296,6.422,3.7193,4.449,6.765,6.817,5.5946,4.9922,4.995,5.0001,True,0
2014-01-25,440854623,438919123,125183326,313735797,1935500,185524856,44376079,141148777,33390830,107757947,12353351816,12098022049,1.6815,6.424,3.7193,4.449,6.765,6.817,5.5946,4.9922,4.995,5.0001,False,1
2014-01-26,528402520,526466645,101475502,424991143,1935875,331752519,19451300,312301219,39439760,272861459,12550001817,12353351816,1.695,6.434,4.4,4.717,6.35,6.995,5.5962,4.9929,4.9966,5.0001,True,0
2014-01-27,657199484,655298101,196149985,459148116,1901383,280645861,36768288,243877573,58856167,185021406,12926555440,12550001817,1.6915,6.416,4.534,4.689,6.092,6.83,5.5989,4.9933,4.9984,5.0001,True,0
2014-01-28,843424742,841426055,202335691,639090364,1998687,248334316,32950093,215384223,47826061,167558162,13521645866,12926555440,1.7398,6.441,4.8477,4.9657,6.807,7.333,5.5998,4.9931,4.9994,5.0001,True,0
2014-01-29,952479658,950357375,102260088,848097287,2122283,215164666,48600473,166564193,38228588,128335605,14258960858,13521645866,1.6693,6.432,4.8,5.108,7.072,7.192,5.6,4.9938,4.9996,5.0001,True,0
2014-01-30,227916211,225754304,44901628,180852676,2161907,105288105,18939954,86348151,13588206,72759945,14381588964,14258960858,1.6193,6.36,4.435,4.983,5.733,5.441,5.6,4.9941,4.9998,5.0001,True,0
2014-01-31,87324175,85045931,20914075,64131856,2278244,48132389,10305654,37826735,7796701,30030034,14420780750,14381588964,1.609,6.293,4.435,4.983,5.733,5.441,5.6,4.9941,4.9998,5.0001,False,1
2014-02-01,64287172,61983151,14043513,47939638,2304021,61527060,11374370,50152690,18881191,31271499,14423540862,14420780750,1.6086,6.253,4.435,4.983,5.733,5.441,5.6,4.9941,4.9998,5.0001,False,2
2014-02-02,57912761,55617117,20359506,35257611,2295644,24395720,11592943,12802777,2770284,10032493,14457057903,14423540862,1.6083,6.205,4.435,4.983,5.733,5.441,5.6,4.9941,4.9998,5.0001,False,3
2014-02-03,84329848,82037541,22041714,59995827,2292307,46109194,20070740,26038454,4221624,21816830,14495278557,14457057903,1.608,6.158,4.435,4.983,5.733,5.441,5.6,4.9941,4.9998,5.0001,False,4
2014-02-04,83653646,81355092,14062302,67292790,2298554,44927333,14428523,30498810,9930337,20568473,14534004870,14495278557,1.6078,6.085,4.435,4.983,5.733,5.441,5.6,4.9941,4.9998,5.0001,False,5
2014-02-05,209043990,206723577,21148444,185575133,2320413,95407704,34014315,61393389,14581824,46811565,14647641156,14534004870,1.6072,6.051,4.435,4.983,5.733,5.441,5.6,4.9941,4.9998,5.0001,False,6
2014-02-06,227860276,225540877,30213062,195327815,2319399,111635336,37275155,74360181,27131322,47228859,14763866096,14647641156,1.6069,6.044,4.435,4.983,5.733,5.441,5.6,4.9941,4.9998,5.0001,False,7
2014-02-07,578818221,576343567,133973411,442370156,2474654,273482213,28411171,245071042,43274926,201796116,15069202104,14763866096,1.7017,6.096,4.27,5.409,5.65,5.4,5.6,4.9939,4.9998,5.0001,True,0
2014-02-08,358255468,355819907,40691777,315128130,2435561,183432237,29127148,154305089,17759331,136545758,15244025335,15069202104,1.6795,6.135,4.25,5.25,5.43,5.811,5.605,4.9936,4.9999,5.0001,True,0
2014-02-09,341911234,339490129,51108036,288382093,2421105,262954049,28979242,233974807,22488350,211486457,15322982520,15244025335,1.6792,6.174,4.25,5.25,5.43,5.811,5.605,4.9936,4.9999,5.0001,False,1
2014-02-10,647465140,645043184,125447760,519595424,2421956,431753411,52832088,378921323,31775846,347145477,15538694249,15322982520,1.7004,6.225,4.3035,5.299,5.422,5.849,5.6031,4.9936,5.0,5.0001,True,0
2014-02-11,818803205,816390370,245808059,570582311,2412835,243058162,39473499,203584663,30415422,173169241,16114439292,15538694249,1.677,6.263,4.137,5.201,5.28,5.758,5.6005,4.9936,5.0,5.0001,True,0
2014-02-12,763009770,760453811,182145168,578308643,2555959,354585919,49996692,304589227,48908222,255681005,16522863143,16114439292,1.6702,6.298,4.075,5.178,5.22,5.65,5.6012,4.9955,5.0,5.0001,True,0
2014-02-13,626698794,624058677,111451545,512607132,2640117,362757986,49969512,312788474,33636126,279152348,16786803951,16522863143,1.6705,6.334,3.669,5.021,4.911,5.629,5.6037,4.9963,5.0,5.0007,True,0
2014-02-14,490710434,488021625,133959311,354062314,2688809,263261899,114214873,149047026,47348366,101698660,17014252486,16786803951,1.661,6.311,3.278,4.436,4.563,5.493,5.6005,4.9966,5.0,5.0001,True,0
2014-02-15,255393179,252650784,50504975,202145809,2742395,121463693,23332090,98131603,26924012,71207591,17148181972,17014252486,1.6566,6.298,3.278,4.436,4.563,5.493,5.6005,4.9966,5.0,5.0001,False,1
2014-02-16,331324628,328597307,61936172,266661135,2727321,183057224,27525012,155532212,34056657,121475555,17296449376,17148181972,1.6563,6.286,3.278,4.436,4.563,5.493,5.6005,4.9966,5.0,5.0001,False,2
2014-02-17,706118060,703414276,101445973,601968303,2703784,405809267,25038922,380770345,67346083,313424262,17596758169,17296449376,1.6526,6.259,2.951,3.879,4.483,5.365,5.6,4.9984,5.0,5.0001,True,0
2014-02-18,593563145,590856887,81848295,509008592,2706258,271125324,41210804,229914520,48672510,181242010,17919195990,17596758169,1.6433,6.241,2.68,3.743,4.639,5.2985,5.6,4.9993,5.0,5.0001,True,0
2014-02-19,408367966,405532115,45373979,360158136,2835851,323990451,27154783,296835668,37714675,259120993,18003573505,17919195990,1.6337,6.22,2.403,3.762,4.678,5.2942,5.6,4.9998,5.0,5.0001,True,0
2014-02-20,478925191,476045215,102087332,373957883,2879976,230855410,42179906,188675504,35175830,153499674,18251643286,18003573505,1.6358,6.201,1.981,3.703,4.149,5.22,5.596,4.9999,5.0,5.0001,True,0
2014-02-21,353981687,351086615,52081757,299004858,2895072,178914448,35272987,143641461,38164915,105476546,18426710525,18251643286,1.6282,6.183,1.764,3.595,4.0,5.176,5.5775,4.9996,5.0,5.0001,True,0
2014-02-22,282022706,279083130,97883214,181199916,2939576,134735118,37388618,97346500,13927043,83419457,18573998113,18426710525,1.6247,6.165,1.764,3.595,4.0,5.176,5.5775,4.9996,5.0,5.0001,False,1
2014-02-23,337053711,334129711,70825865,263303846,2924000,195214052,27025520,168188532,22090461,146098071,18715837772,18573998113,1.6238,6.147,1.764,3.595,4.0,5.176,5.5775,4.9996,5.0,5.0001,False,2
2014-02-24,656317045,653397733,203203164,450194569,2919312,473470156,38373586,435096570,38390594,396705976,18898684661,18715837772,1.6323,6.136,1.7,3.339,3.97,4.968,5.5665,5.0,5.0,5.0001,True,0
2014-02-25,563505889,560651569,134346664,426304905,2854320,299155352,50699394,248455958,43867571,204588387,19163035198,18898684661,1.6039,6.114,1.72,3.278,3.811,4.519,5.5585,5.0,5.0,5.0001,True,0
2014-02-26,680801145,677828663,202317738,475510925,2972482,284819682,53686988,231132694,44707073,186425621,19559016661,19163035198,1.596,6.093,1.75,3.072,3.822,4.4435,5.5415,5.0,5.0,5.0001,True,0
2014-02-27,672909288,669926875,141301002,528625873,2982413,492786036,61051395,431734641,33471939,398262702,19739139913,19559016661,1.5792,6.062,1.75,3.43,3.761,4.368,5.536,5.0,5.0,5.0001,True,0
2014-02-28,428721754,425722217,86054744,339667473,2999537,322030204,48124571,273905633,40145953,233759680,19845831463,19739139913,1.572,6.031,1.8458,3.529,3.753,4.316,5.529,5.0,5.0,5.0001,True,0
2014-03-01,362865580,359812461,103652657,256159804,3053119,211279011,39537010,171742001,46757660,124984341,19997418032,19845831463,1.5698,6.001,1.8458,3.529,3.753,4.316,5.529,5.0,5.0,5.0001,False,1
2014-03-02,276202230,273172567,90720059,182452508,3029663,246199417,46033199,200166218,38505331,161660887,20027420845,19997418032,1.5695,5.971,1.8458,3.529,3.753,4.316,5.529,5.0,5.0,5.0001,False,2
2014-03-03,505305862,502322723,139970256,362352467,2983139,513017360,45213317,467804043,65897484,401906559,20019709347,20027420845,1.5559,5.928,2.085,2.821,3.734,4.262,5.519,5.0,5.0,5.0001,True,0
2014-03-04,524146340,521192622,206653555,314539067,2953718,250562978,44291502,206271476,42801499,163469977,20293292709,20019709347,1.5429,5.895,2.083,3.5135,3.8,4.365,5.515,5.0,5.0,5.0001,True,0
2014-03-05,454295491,451245946,91287267,359958679,3049545,209072753,48032386,161040367,44777164,116263203,20538515447,20293292709,1.5411,5.864,2.09,3.798,3.8,4.45,5.5105,5.0,5.0,5.0001,True,0
2014-03-06,561787770,558722119,240492858,318229261,3065651,243149884,30563498,212586386,34572653,178013733,20857153333,20538515447,1.5259,5.835,2.0547,2.486,3.762,4.64,5.5067,5.0,5.0,5.0001,True,0
2014-03-07,380139779,377058943,95021643,282037300,3080836,291087220,42629946,248457274,37427390,211029884,20946205892,20857153333,1.517,5.805,1.9948,2.403,3.052,4.586,5.504,5.0,5.0,5.0001,True,0
2014-03-08,243274169,240156774,54611908,185544866,3117395,140323202,43290047,97033155,21505157,75527998,21049156859,20946205892,1.5148,5.774,1.9948,2.403,3.052,4.586,5.504,5.0,5.0,5.0001,False,1
2014-03-09,244752519,241650547,68363391,173287156,3101972,206312503,31892792,174419711,26451130,147968581,21087596875,21049156859,1.5145,5.744,1.9948,2.403,3.052,4.586,5.504,5.0,5.0,5.0001,False,2
2014-03-10,497338076,494278563,146463415,347815148,3059513,308040624,53902450,254138174,66525423,187612751,21276894327,21087596875,1.5048,5.716,1.919,2.358,2.625,4.574,5.502,5.0,5.0,5.0,True,0
2014-03-11,430500816,427448087,194534475,232913612,3052729,496039886,47244953,448794933,27674624,421120309,21211355257,21276894327,1.4965,5.69,1.873,2.258,2.295,4.293,5.5002,5.0,5.0,5.0,True,0
2014-03-12,377007897,373891397,132571107,241320290,3116500,416491268,34788679,381702589,65733259,315969330,21171871886,21211355257,1.4997,5.668,1.9,2.211,2.208,3.872,5.5,5.0,5.0,5.0,True,0
2014-03-13,346286910,343188988,102654466,240534522,3097922,316973542,47886605,269086937,55076814,214010123,21201185254,21171871886,1.4878,5.647,1.96,2.5,2.277,3.83,5.5,5.0,5.0,5.0,True,0
2014-03-14,315897431,312802600,77247724,235554876,3094831,311575572,44371878,267203694,33333597,233870097,21205507113,21201185254,1.4831,5.628,1.8765,2.527,2.608,3.868,5.5,5.0,5.0,5.0,True,0
2014-03-15,287407002,284310353,62427388,221882965,3096649,242799048,34294409,208504639,17959278,190545361,21250115067,21205507113,1.4818,5.61,1.8765,2.527,2.608,3.868,5.5,5.0,5.0,5.0,False,1
2014-03-16,269387391,266319616,71014819,195304797,3067775,390584547,19600978,370983569,25259589,345723980,21128917911,21250115067,1.4816,5.592,1.8765,2.527,2.608,3.868,5.5,5.0,5.0,5.0,False,2
2014-03-17,339008082,336026313,70763233,265263080,2981769,440624592,50250618,390373974,54475186,335898788,21027301401,21128917911,1.4628,5.568,1.869,2.671,2.7,3.938,5.5,5.0,5.0,5.0,True,0
2014-03-18,435479117,432490715,149391004,283099711,2988402,410240726,54642238,355598488,31133912,324464576,21052539792,21027301401,1.4726,5.555,2.05,2.88,2.88,4.022,5.5,5.0,5.0,5.0,True,0
2014-03-19,359014064,355963833,76164526,279799307,3050231,429298917,30164627,399134290,51068160,348066130,20982254939,21052539792,1.4786,5.544,2.8025,3.422,3.8,4.412,5.5,5.0,5.0,5.0,True,0
2014-03-20,365011495,361964978,159168755,202796223,3046517,336076380,36054285,300022095,26850670,273171425,21011190054,20982254939,1.4772,5.538,3.011,3.474,3.641,4.619,5.5,5.0,5.0,5.0,True,0
2014-03-21,282351818,279298412,81707625,197590787,3053406,259655286,39994785,219660501,49883826,169776675,21033886586,21011190054,1.4787,5.535,2.5,3.6,3.78,4.895,5.5,5.0,5.0,5.0,True,0
2014-03-22,191700135,188663159,104204913,84458246,3036976,138039412,33200246,104839166,21342777,83496389,21087547309,21033886586,1.4638,5.526,2.5,3.6,3.78,4.895,5.5,5.0,5.0,5.0,False,1
2014-03-23,167456369,164431433,61783931,102647502,3024936,186443311,30812667,155630644,23200850,132429794,21068560367,21087547309,1.4636,5.516,2.5,3.6,3.78,4.895,5.5,5.0,5.0,5.0,False,2
