report_date,observed_users,opening_balance_amt,closing_balance_amt,direct_inflow_amt,balance_purchase_inflow_amt,bankcard_purchase_inflow_amt,profit_share_inflow_amt,total_inflow_amt,total_outflow_amt,transfer_outflow_amt,consume_outflow_amt,transfer_to_balance_amt,transfer_to_card_amt,direct_inflow_users,profit_share_users,total_outflow_users,transfer_outflow_users,net_flow_amt,profit_share_per_10000_opening_balance,direct_inflow_share,bankcard_direct_inflow_share,transfer_outflow_share,mfd_daily_yield,mfd_7daily_yield,Interest_O_N,Interest_1_W,Interest_2_W,Interest_1_M,Interest_3_M,Interest_6_M,Interest_9_M,Interest_1_Y,is_shibor_observed,days_since_observation
2013-09-26,1646,2209922580,2230173744,68406175,50986446,17419729,312518,68718693,48467529,40129277,8338252,21599517,18529760,114,1211,167,51,20251164,1.4141581376122234,0.9954522126897845,0.25465141122128226,0.8279620980883924,1.4449,4.897,3.112,4.055,5.571,5.435,4.6732,4.22,4.27,4.4,True,0
2013-09-27,1660,2230173744,2244700262,41868120,27267839,14600281,298001,42166121,27639603,23841664,3797939,11564733,12276931,93,1206,138,53,14526518,1.3362232462907158,0.992932691152691,0.3487207211596795,0.862590681928391,1.3799,4.963,3.1477,3.646,5.6528,5.33,4.6722,4.22,4.27,4.4,True,0
2013-09-28,1668,2244700262,2226590340,39706452,14563705,25142747,289346,39995798,58105720,51344329,6761391,16876243,34468086,96,1222,148,47,-18109922,1.2890184266392715,0.9927655900252321,0.6332156547253328,0.883636395866018,1.3138,4.994,3.1477,3.646,5.6528,5.33,4.6722,4.22,4.27,4.4,False,1
2013-09-29,1680,2226590340,2220728986,34151131,14055266,20095865,282717,34433848,40295202,33916391,6378811,22588058,11328333,89,1214,148,58,-5861354,1.2697306501383636,0.9917895612479907,0.5884392232866315,0.8416980016628283,1.3136,5.026,3.15,3.749,5.778,5.3,4.6732,4.22,4.27,4.4,True,0
2013-09-30,1685,2220728986,2218945683,28118755,8182452,19936303,279295,28398050,30181353,20339062,9842291,14254160,6084902,85,1204,141,47,-1783303,1.257672601027598,0.9901649937231606,0.7090037592347171,0.6738949708450778,1.3162,5.07,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,True,0
2013-10-01,1696,2218945683,2225269915,18857154,6502928,12354226,280345,19137499,12813267,10808704,2004563,7433180,3375524,55,1202,115,27,6324232,1.2634153334523062,0.9853510116447295,0.6551479613519622,0.8435556677309541,1.3181,5.065,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,False,1
2013-10-02,1698,2225269915,2229598749,11272068,4072819,7199249,290640,11562708,7233874,4847705,2386169,2880222,1967483,44,1233,107,32,4328834,1.3060887492383142,0.9748640197434718,0.6386804089542398,0.6701395407218871,1.3179,5.026,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,False,2
2013-10-03,1704,2229598749,2233476680,9809448,4241086,5568362,291746,10101194,6223263,4720978,1502285,1589382,3131596,46,1243,98,24,3877931,1.308513471900948,0.9711176718316666,0.56765294030816,0.7586017174591528,1.3177,4.956,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,False,3
2013-10-04,1715,2233476680,2229972019,19615445,8598422,11017023,292244,19907689,23412350,19131686,4280664,11492105,7639581,54,1250,99,25,-3504661,1.3084712395564388,0.9853200439287554,0.561650423938891,0.8171621387857263,1.3175,4.922,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,False,4
2013-10-05,1718,2229972019,2242370252,26074038,16185006,9889032,290648,26364686,13966453,12452446,1514007,10249721,2202725,55,1254,97,35,12398233,1.3033706141763026,0.9889758596025001,0.3792673769977631,0.8915968857661999,1.3173,4.924,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,False,5
2013-10-06,1744,2242370252,2267636377,38442637,26616850,11825787,288016,38730653,13464528,10532958,2931570,8922594,1610364,63,1250,111,32,25266125,1.284426600571938,0.9925636162137519,0.3076216389630087,0.7822745810324728,1.3111,4.922,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,False,6
2013-10-07,1744,2267636377,2281539710,42511148,29976033,12535115,286585,42797733,28894400,22273724,6620676,7474553,14799171,86,1240,124,36,13903333,1.2638049155797257,0.9933037341019909,0.29486653712574407,0.7708664654742787,1.3109,4.919,3.126,4.203,4.774,5.3,4.6704,4.22,4.27,4.4,False,7
2013-10-08,1765,2281539710,2313490526,109484867,70814343,38670524,322045,109806912,77856096,70733188,7122908,11651151,59082037,146,1255,167,56,31950816,1.411524851346988,0.9970671700521002,0.3532042834741718,0.9085118781193446,1.4756,5.006,3.052,4.393,4.78,5.178,4.6685,4.22,4.27,4.4,True,0
2013-10-09,1780,2313490526,2351913449,72136946,38830790,33306156,285353,72422299,33999376,25116375,8883001,10678490,14437885,119,1283,161,65,38422923,1.2334305967242158,0.9960598737689893,0.46170731985243735,0.7387304696415605,1.2935,4.992,3.232,4.502,4.816,5.213,4.6682,4.22,4.27,4.4,True,0
2013-10-10,1795,2351913449,2371763531,71796476,36544934,35251542,298137,72094613,52244531,45183161,7061370,11880117,33303044,151,1290,164,63,19850082,1.2676359333153335,0.9958646424802918,0.4909926498342342,0.8648400155032495,1.3088,4.987,3.328,4.48,4.939,5.1,4.6681,4.22,4.27,4.4,True,0
2013-10-11,1823,2371763531,2426771815,82372594,43296363,39076231,302163,82674757,27666473,24101973,3564500,12783375,11318598,159,1300,143,55,55008284,1.2740013751396198,0.9963451601073349,0.4743838830667394,0.8711617487346508,1.3122,4.985,3.1,4.26,4.847,5.0,4.6679,4.22,4.27,4.4,True,0
2013-10-12,1846,2426771815,2477349968,81593823,42609762,38984061,307313,81901136,31322983,24379656,6943327,6524375,17855281,118,1323,155,55,50578153,1.2663448540999311,0.9962477565634743,0.4777820129839976,0.7783312336503838,1.3082,4.98,3.027,4.246,4.798,4.805,4.6673,4.22,4.27,4.4,True,0
2013-10-13,1880,2477349968,2516649474,70845311,32822745,38022566,304670,71149981,31850475,27576898,4273577,10611383,16965515,130,1308,132,44,39299506,1.2298222049182839,0.9957179187440682,0.5366984132513725,0.865823759300293,1.308,4.978,3.027,4.246,4.798,4.805,4.6673,4.22,4.27,4.4,False,1
2013-10-14,1910,2516649474,2606312149,130020702,75489865,54530837,294598,130315300,40652625,32869451,7783174,14896890,17972561,177,1302,190,69,89662675,1.1705960764244279,0.9977393444975379,0.4194011888968266,0.8085443682911005,1.2777,4.96,3.113,3.855,4.65,4.85,4.6661,4.22,4.27,4.4,True,0
2013-10-15,1966,2606312149,2656917255,85388933,41656981,43731952,315371,85704304,35099198,28088248,7010950,10639886,17448362,205,1317,177,74,50605106,1.2100277402344257,0.9963202431467153,0.5121501166901804,0.8002532707442489,1.3456,4.889,3.117,3.845,3.883,4.713,4.6655,4.22,4.27,4.4,True,0
2013-10-16,2002,2656917255,2706603364,100610077,49684423,50925654,338014,100948091,51261982,43153577,8108405,8534326,34619251,198,1383,161,55,49686109,1.272203714149916,0.9966516058238288,0.5061685222644249,0.8418242002425891,1.313,4.899,3.055,3.314,3.357,4.857,4.6654,4.22,4.27,4.4,True,0
2013-10-17,2105,2706603364,2770531817,86867001,35808629,51058372,336216,87203217,23274764,17679767,5594997,4512267,13167500,197,1418,166,56,63928453,1.2422063922329478,0.9961444541661806,0.58777638703102,0.7596110104489137,1.2908,4.889,3.038,3.35,3.391,4.73,4.6681,4.22,4.27,4.4,True,0
2013-10-18,2129,2770531817,2852744912,97805294,49716816,48088478,346156,98151450,15938355,11740372,4197983,9265936,2474436,183,1455,165,45,82213095,1.2494207714056367,0.9964732461924913,0.4916756142055051,0.7366112751284558,1.2917,4.878,3.001,3.485,3.573,4.613,4.6695,4.22,4.27,4.4,True,0
2013-10-19,2170,2852744912,2879208658,52794624,17807708,34986916,353819,53148443,26684697,18744974,7939723,7947251,10797723,137,1504,154,57,26463746,1.2402756324677655,0.9933428153295102,0.6626984596007351,0.7024615643940045,1.2859,4.866,3.001,3.485,3.573,4.613,4.6695,4.22,4.27,4.4,False,1
2013-10-20,2231,2879208658,2876090997,47414924,23808286,23606638,351757,47766681,50884342,46214486,4669856,3590393,42624093,169,1491,161,50,-3117661,1.2217141644897067,0.9926359338217365,0.4978735809003933,0.9082260708018982,1.2857,4.854,3.001,3.485,3.573,4.613,4.6695,4.22,4.27,4.4,False,2
2013-10-21,2270,2876090997,2936339884,105669458,38771841,66897617,360832,106030290,45781403,30004465,15776938,12306385,17698080,222,1483,176,57,60248887,1.2545917371055977,0.9965968969810419,0.6330837525446568,0.6553854411145941,1.34,4.888,3.06,3.548,3.67,4.683,4.6775,4.22,4.27,4.4,True,0
2013-10-22,2319,2936339884,2985778843,145262654,80208449,65054205,348842,145611496,96172537,79106727,17065810,39792495,39314232,218,1507,177,62,49438959,1.1880164210581556,0.997604296298144,0.44783847195852555,0.8225500695692368,1.2698,4.846,3.052,3.558,3.6,4.707,4.6813,4.22,4.27,4.4,True,0
2013-10-23,2333,2985778843,3018083493,105727597,55822529,49905068,365515,106093112,73788462,61697747,12090715,24671186,37026561,178,1621,196,54,32304650,1.2241864492305936,0.9965547716236282,0.47201553251985856,0.8361435558854716,1.273,4.825,3.78,3.992,3.871,4.814,4.6843,4.22,4.27,4.4,True,0
2013-10-24,2366,3018083493,3029430402,69158484,20287230,48871254,372346,69530830,58183921,50820693,7363228,24085834,26734859,178,1666,203,63,11346909,1.2337166975784524,0.9946448791133372,0.706655946940653,0.8734490925766244,1.2811,4.819,4.088,4.68,4.882,5.4,4.6876,4.2201,4.27,4.4,True,0
2013-10-25,2366,3029430402,3047141053,69558797,26323562,43235235,377656,69936453,52225802,41095823,11129979,15388480,25707343,163,1677,191,75,17710651,1.2466237869359047,0.9946000120995556,0.6215638691968752,0.7868873511985512,1.2758,4.811,4.367,4.891,5.862,6.422,4.691,4.2201,4.27,4.4,True,0
2013-10-26,2379,3047141053,3053536348,55373965,14759985,40613980,378541,55752506,49357211,44736934,4620277,3869269,40867665,133,1691,173,65,6395295,1.242282498302188,0.9932103321059684,0.7334490134488293,0.9063910438537542,1.2731,4.804,4.367,4.891,5.862,6.422,4.691,4.2201,4.27,4.4,False,1
2013-10-27,2396,3053536348,3075023321,67634331,36450109,31184222,373212,68007543,46520570,34945535,11575035,22721764,12223771,150,1674,171,61,21486973,1.2222287782637524,0.9945121969779146,0.4610709019950238,0.7511845835078977,1.2729,4.797,4.367,4.891,5.862,6.422,4.691,4.2201,4.27,4.4,False,2
2013-10-28,2426,3075023321,3149927232,129632574,67259575,62372999,360801,129993375,55089464,42093258,12996206,16468981,25624277,198,1656,197,77,74903911,1.1733276867723632,0.9972244662468376,0.48115220638911327,0.7640890824423342,1.2428,4.743,4.434,4.894,6.396,6.477,4.6975,4.2201,4.27,4.4,True,0
2013-10-29,2470,3149927232,3208924908,101671985,50888468,50783517,378159,102050144,43052468,37896929,5155539,22855535,15041394,208,1673,201,61,58997676,1.2005324953487688,0.996294380535122,0.4994838745402679,0.8802498616339486,1.289,4.754,4.446,4.947,6.452,6.162,4.6966,4.22,4.27,4.4,True,0
2013-10-30,2524,3208924908,3254679467,109262475,57375950,51886525,400785,109663260,63908701,56860968,7047733,22494418,34366550,211,1736,215,71,45754559,1.2489697063363006,0.996345312003309,0.474879641889862,0.8897218549317721,1.2902,4.763,5.23,5.593,6.349,5.924,4.6965,4.2195,4.27,4.4,True,0
2013-10-31,2558,3254679467,3289998335,90518963,33377309,57141654,407738,90926701,55607833,45640239,9967594,9460426,36179813,230,1757,221,63,35318868,1.2527746714665957,0.9955157506484261,0.6312672185606015,0.8207519793119793,1.2965,4.772,4.59,4.993,5.51,5.334,4.6948,4.22,4.27,4.4,True,0
2013-11-01,2627,3289998335,3373970161,150490888,97662024,52828864,414057,150904945,66933119,58022316,8910803,20798916,37223400,224,1785,239,80,83971826,1.2585325518105466,0.9972561734143305,0.35104360604211465,0.8668700468000005,1.2919,4.781,4.2883,4.61,5.03,5.162,4.6925,4.22,4.27,4.4,True,0
2013-11-02,2656,3373970161,3409396955,61714348,23865307,37849041,417952,62132300,26705506,17490075,9215431,7143672,10346403,172,1818,190,62,35426794,1.2387542866595018,0.9932731928481643,0.613294026860658,0.6549239321658987,1.2911,4.79,4.2883,4.61,5.03,5.162,4.6925,4.22,4.27,4.4,False,1
2013-11-03,2663,3409396955,3447209071,68291959,30519678,37772281,415911,68707870,30895754,22484962,8410792,14516429,7968533,184,1808,193,59,37812116,1.2198960856994137,0.9939466759775846,0.5530999777001565,0.727768676563129,1.291,4.8,4.2883,4.61,5.03,5.162,4.6925,4.22,4.27,4.4,False,2
2013-11-04,2734,3447209071,3616266423,299614565,237955005,61659560,412838,300027403,130970051,123744291,7225760,8145407,115598884,242,1795,236,83,169057352,1.1976007010222909,0.9986239990218494,0.20579627028479072,0.9448289135964374,1.2888,4.825,4.0971,4.423,4.5,4.605,4.6921,4.22,4.27,4.4,True,0
2013-11-05,2950,3616266423,3714481373,180478015,64596913,115881102,426799,180904814,82689864,70461231,12228633,14710337,55750894,570,1819,383,214,98214950,1.1802200116824744,0.9976407537723125,0.64207877064694,0.8521144864865179,1.2938,4.828,3.9147,4.232,4.557,4.6155,4.693,4.22,4.27,4.4,True,0
2013-11-06,3061,3714481373,3764248463,181014598,38422060,142592538,460312,181474910,131707820,112480989,19226831,49152384,63328605,557,1919,379,212,49767090,1.239236258784168,0.9974634950914151,0.7877405445498932,0.8540190628012824,1.2917,4.829,3.66,3.866,4.55,4.869,4.6926,4.22,4.27,4.4,True,0
2013-11-07,3183,3764248463,3848905475,167495139,39534732,127960407,468325,167963464,83306452,69810548,13495904,18133158,51677390,612,2058,419,215,84657012,1.2441394467004927,0.9972117448113597,0.7639648993037345,0.8379968936859776,1.2935,4.827,3.73,3.891,4.552,4.974,4.6933,4.2204,4.27,4.4,True,0
2013-11-08,3280,3848905475,3987798639,231270156,124106307,107163849,479315,231749471,92856307,82726508,10129799,13757231,68969277,546,2151,380,176,138893164,1.2453280630384926,0.9979317536392565,0.463370851014603,0.8909088749351188,1.292,4.827,3.761,3.939,4.5805,5.077,4.6944,4.2201,4.27,4.4,True,0
2013-11-09,3367,3987798639,4068379896,125980699,36733104,89247595,486329,126467028,45885771,34977702,10908069,7874091,27103611,457,2251,343,142,80581257,1.2195425196342267,0.996154499653459,0.708422764029909,0.7622777440091396,1.2891,4.826,3.761,3.939,4.5805,5.077,4.6944,4.2201,4.27,4.4,False,1
2013-11-10,3673,4068379896,4147899723,164328004,48481839,115846165,485467,164813471,85293644,63485264,21808380,25181514,38303750,721,2245,493,181,79519827,1.1932686042355765,0.9970544458711145,0.7049690994847111,0.744314124977472,1.2889,4.825,3.761,3.939,4.5805,5.077,4.6944,4.2201,4.27,4.4,False,2
2013-11-11,3556,4147899723,4068761211,147425452,69094170,78331282,560987,147986439,227124951,46469465,180655486,7155297,39314168,451,2264,1312,145,-79138512,1.3524603714244612,0.9962091999524362,0.5313280775968047,0.2045986792529897,1.4962,4.938,3.6,3.78,4.458,5.269,4.6962,4.22,4.27,4.4,True,0
2013-11-12,3484,4068761211,4085967334,147913613,75656414,72257199,556034,148469647,131263524,118955397,12308127,13535932,105419465,317,2273,370,106,17206123,1.3665928550851003,0.9962548978108636,0.4885094585580842,0.906233455990409,1.4577,5.028,3.329,3.545,4.305,4.865,4.6978,4.22,4.27,4.4,True,0
2013-11-13,3527,4085967334,4181400870,174000238,104660075,69340163,554738,174554976,79121440,64222702,14898738,36973694,27249008,292,2349,318,83,95433536,1.3576662627327798,0.9968219869022812,0.3985061388249366,0.8116978406864183,1.4097,5.093,3.336,3.635,4.359,5.251,4.699,4.22,4.27,4.4,True,0
2013-11-14,3528,4181400870,4296842778,167462695,85700589,81762106,533363,167996058,52554150,44466141,8088009,22737277,21728864,271,2367,319,83,115441908,1.2755605515526667,0.9968251457424079,0.4882407153426021,0.8461014211056596,1.3294,5.112,4.188,4.193,4.485,5.325,4.6997,4.2202,4.27,4.4,True,0
2013-11-15,3562,4296842778,4362903228,123661256,44129861,79531395,609448,124270704,58210254,48336223,9874031,13669346,34666877,278,2417,313,107,66060450,1.4183623453024559,0.9950958031106028,0.6431391494196048,0.8303729957955518,1.4738,5.212,4.454,5.311,5.902,5.949,4.706,4.2207,4.27,4.4,True,0
2013-11-16,3604,4362903228,4451992661,117530834,62614420,54916414,554871,118085705,28996272,21696609,7299663,15626737,6069872,236,2403,247,70,89089433,1.271793049268156,0.9953011162528098,0.46725112152271464,0.7482551205203207,1.3102,5.224,4.454,5.311,5.902,5.949,4.706,4.2207,4.27,4.4,False,1
2013-11-17,3630,4451992661,4521421128,111233475,45938489,65294986,553147,111786622,42358155,32349646,10008509,17699482,14650164,257,2384,261,71,69428467,1.2424706016378584,0.9950517603081341,0.5870084163063323,0.7637170693577188,1.31,5.235,4.454,5.311,5.902,5.949,4.706,4.2207,4.27,4.4,False,2
2013-11-18,3685,4521421128,4580270823,195210552,94427782,100782770,555925,195766477,136916782,122604040,14312742,41227427,81376613,340,2367,354,100,58849695,1.2295359893757722,0.9971602645737963,0.5162772655855202,0.8954639322446243,1.321,5.139,4.513,5.357,6.198,6.405,4.7095,4.2206,4.27,4.4,True,0
2013-11-19,3725,4580270823,4641328007,130801756,47990602,82811154,563663,131365419,70308235,55668286,14639949,15545895,40122391,304,2386,342,95,61057184,1.2306324708345746,0.9957091980196097,0.6331042986915252,0.7917747615197566,1.3377,5.073,4.075,4.83,5.532,6.121,4.71,4.2206,4.27,4.4,True,0
2013-11-20,3766,4641328007,4720539791,165560984,56087750,109473234,602018,166163002,86951218,73686937,13264281,22879788,50807149,317,2485,324,91,79211784,1.2970813506221561,0.9963769431657234,0.6612260410339189,0.8474514641071503,1.3352,5.033,4.057,4.751,5.43,6.179,4.7092,4.2207,4.27,4.4,True,0
2013-11-21,3773,4720539791,4866972767,220554500,118123549,102430951,612438,221166938,74733962,65894716,8839246,16100622,49794094,291,2517,345,110,146432976,1.2973897628564657,0.9972308790566156,0.4644246705462822,0.8817238406281739,1.3442,5.041,3.889,4.708,5.599,6.283,4.711,4.2207,4.27,4.4,True,0
2013-11-22,3801,4866972767,4912783533,127901717,42947137,84954580,626970,128528687,82717921,62330738,20387183,24678325,37652413,269,2543,352,117,45810766,1.2882134953602054,0.9951219450331737,0.6642176664446185,0.7535336629168907,1.3502,4.973,3.899,4.763,5.916,6.378,4.7118,4.2207,4.27,4.4,True,0
2013-11-23,3885,4912783533,4953010420,88464354,28994052,59470302,644664,89109018,48882131,42399242,6482889,11475436,30923806,251,2575,304,87,40226887,1.3122173929905165,0.9927654460292672,0.67225158282397,0.8673771198722904,1.3469,4.993,3.899,4.763,5.916,6.378,4.7118,4.2207,4.27,4.4,False,1
2013-11-24,3910,4953010420,4969849464,101754797,57943382,43811415,640194,102394991,85555947,78236326,7319621,9204891,69031435,217,2556,299,90,16839044,1.2925351366412026,0.9937477996360193,0.43055871852410066,0.9144463797472782,1.3467,5.013,3.899,4.763,5.916,6.378,4.7118,4.2207,4.27,4.4,False,2
2013-11-25,3964,4969849464,5046879939,146505434,74040394,72465040,638168,147143602,70113127,46317043,23796084,9657210,36659833,333,2547,358,110,77030475,1.2840791348363463,0.9956629578770269,0.4946235646112621,0.6606044400216239,1.361,5.035,3.847,4.74,6.165,6.378,4.7132,4.2207,4.27,4.4,True,0
2013-11-26,4001,5046879939,5239114658,257385328,167619964,89765364,652374,258037702,65802983,49269796,16533187,10910790,38359006,327,2551,372,102,192234719,1.2926283325243175,0.9974717880567701,0.34875866739381506,0.7487471502621698,1.3774,5.057,3.746,4.6775,5.95,6.582,4.7156,4.2207,4.27,4.4,True,0
2013-11-27,4033,5239114658,5287759288,134089685,57779508,76310177,684443,134774128,86129498,72687979,13441519,8395361,64292618,308,2678,358,106,48644630,1.3064096601796493,0.9949215549738152,0.5690980406136386,0.8439382637525648,1.3755,5.079,3.764,4.663,5.968,6.704,4.7211,4.2207,4.27,4.4,True,0
2013-11-28,4049,5287759288,5366066122,139046863,58319586,80727277,713562,139760425,61453591,49127561,12326030,20095247,29032314,290,2698,322,87,78306834,1.3494600664204817,0.9948943915990525,0.5805760393170467,0.7994253907798489,1.3862,5.102,3.746,4.823,6.295,6.555,4.7181,4.2207,4.27,4.4,True,0
2013-11-29,4092,5366066122,5364620300,121810671,43456530,78354141,725673,122536344,123982166,111001489,12980677,15313495,95687994,299,2734,312,102,-1445822,1.3523370444968215,0.994077895779231,0.6432452949873333,0.8953020630402602,1.3879,5.123,3.726,4.666,6.066,6.365,4.7229,4.2207,4.27,4.4,True,0
2013-11-30,4139,5364620300,5361825481,116137403,58697397,57440006,728089,116865492,119660311,109292771,10367540,21919187,87373584,263,2758,314,97,-2794819,1.3572050942729348,0.9937698546633423,0.49458662339814846,0.9133585738382378,1.3878,5.145,3.726,4.666,6.066,6.365,4.7229,4.2207,4.27,4.4,False,1
2013-12-01,4186,5361825481,5405083240,137174775,59786618,77388157,715217,137889992,94632233,74170465,20461768,15707290,58463175,301,2737,369,98,43257759,1.3339057799147342,0.9948131333563353,0.5641573459843473,0.7837759149147415,1.3876,5.168,3.726,4.666,6.066,6.365,4.7229,4.2207,4.27,4.4,False,2
2013-12-02,4240,5405083240,5621931412,344606438,181458812,163147626,706820,345313258,128465086,97231148,31233938,47382011,49849137,361,2719,388,111,216848172,1.3076949394030053,0.9979531049456549,0.47343174128395127,0.7568682746999446,1.3882,5.182,3.748,4.571,5.93,6.263,4.7197,4.2207,4.27,4.4,True,0
2013-12-03,4266,5621931412,5788936223,267952466,96712045,171240421,714390,268666856,101662045,75942022,25720023,22917759,53024263,357,2738,403,103,167004811,1.2707198783591278,0.9973409820227322,0.6390701438814151,0.7470046662940923,1.399,5.194,3.725,4.6,5.913,6.28,4.7365,4.2216,4.2701,4.4,True,0
2013-12-04,4292,5788936223,5938411266,218681591,102384322,116297269,774781,219456372,69981329,54135462,15845867,7852080,46283382,319,2861,390,100,149475043,1.3383823385749538,0.9964695442973969,0.5318109698589124,0.7735700760984405,1.3982,5.207,3.7235,4.577,5.75,6.235,4.7778,4.232,4.2706,4.4,True,0
2013-12-05,4334,5938411266,6010979734,190022709,69146648,120876061,802578,190825287,118256819,104430857,13825962,39525525,64905332,333,2904,388,117,72568468,1.3515028920194696,0.9957941737564372,0.6361137657499663,0.8830852874539099,1.4025,5.216,3.703,4.558,5.509,6.08,4.885,4.2432,4.2707,4.4,True,0
2013-12-06,4341,6010979734,6080551322,151391317,55634193,95757124,805842,152197159,82625571,72000604,10624967,27086231,44914373,280,2907,360,112,69571588,1.340616730816614,0.9947052756746925,0.6325139770070168,0.8714082472119921,1.3848,5.214,3.7,4.55,5.058,5.596,5.167,4.2513,4.2739,4.405,True,0
2013-12-07,4362,6080551322,6147517880,138063886,70946815,67117071,818719,138882605,71916047,57836793,14079254,7621422,50215371,244,2953,328,103,66966558,1.3464552088193034,0.9941049564846511,0.48613053669951023,0.8042265309715925,1.3815,5.211,3.7,4.55,5.058,5.596,5.167,4.2513,4.2739,4.405,False,1
2013-12-08,4391,6147517880,6196090491,124072382,39666888,84405494,814521,124886903,76314292,57106737,19207555,7934169,49172568,243,2935,303,88,48572611,1.3249591394437719,0.993477930988488,0.680292363533409,0.7483098578703973,1.3809,5.207,3.7,4.55,5.058,5.596,5.167,4.2513,4.2739,4.405,False,2
2013-12-09,4428,6196090491,6237388004,173818023,58079956,115738067,834789,174652812,133355299,112452598,20902701,12725637,99726961,317,2928,413,135,41297513,1.3472834220425847,0.9952202945349657,0.6658576884170406,0.8432555649700879,1.4227,5.226,3.62,4.485,4.882,5.45,5.2581,4.3302,4.3553,4.4689,True,0
2013-12-10,4473,6237388004,6269712275,178632183,64157045,114475138,839429,179471612,147147341,131378380,15768961,27083516,104294864,373,2949,361,120,32324271,1.3458021201529857,0.9953227756153435,0.6408427422062014,0.892835569485418,1.4271,5.241,3.558,4.444,4.72,5.296,5.338,4.3995,4.4319,4.5237,True,0
2013-12-11,4518,6269712275,6399314660,239051211,138677071,100374140,865766,239916977,110314592,94105429,16209163,32858604,61246825,343,3042,395,131,129602385,1.3808703845185624,0.9963913933443734,0.4198855114772876,0.8530641984335128,1.42,5.253,3.51,4.329,4.55,5.238,5.332,4.4612,4.4969,4.5771,True,0
2013-12-12,4563,6399314660,6447584392,139456440,37802740,101653700,903567,140360007,92090275,47635792,44454483,11324110,36311682,419,3088,788,130,48269732,1.4119746379216176,0.9935625038833177,0.7289279720606664,0.5172727739166812,1.4663,5.288,3.46,4.305,4.51,5.4155,5.3222,4.5197,4.5547,4.6247,True,0
2013-12-13,4577,6447584392,6521478868,163756758,51626995,112129763,915932,164672690,90778214,59580921,31197293,23943149,35637772,360,3068,370,112,73894476,1.4205816385070744,0.9944378633761312,0.6847336523357406,0.656335021087769,1.4527,5.325,3.4321,4.3,4.41,5.423,5.335,4.5736,4.6072,4.6657,True,0
2013-12-14,4599,6521478868,6598289813,128124144,60894040,67230104,921452,129045596,52234651,36469460,15765191,13547421,22922039,262,3108,322,99,76810945,1.4129494531086166,0.9928594851078839,0.5247262686102316,0.6981851951111916,1.4493,5.363,3.4321,4.3,4.41,5.423,5.335,4.5736,4.6072,4.6657,False,1
2013-12-15,4648,6598289813,6749415054,204965245,126617857,78347388,917142,205882387,54757146,36699877,18057269,8502234,28197643,309,3088,381,104,151125241,1.3899692586903956,0.9955453110226471,0.3822471853703783,0.6702299093528359,1.4491,5.4,3.4321,4.3,4.41,5.423,5.335,4.5736,4.6072,4.6657,False,2
2013-12-16,4675,6749415054,6789747659,195558740,76785117,118773623,931191,196489931,156157326,123486114,32671212,31097965,92388149,373,3081,457,145,40332605,1.3796617818726904,0.9952608716626807,0.6073552273858995,0.7907801520627985,1.4771,5.43,3.447,4.358,4.389,5.557,5.331,4.6207,4.6553,4.7045,True,0
2013-12-17,4717,6789747659,6867190613,193053100,62804752,130248348,927697,193980797,116537843,104512473,12025370,14476061,90036412,403,3092,443,119,77442954,1.366320291403336,0.9952175833157341,0.6746762833645251,0.896811458918113,1.4532,5.444,3.47,4.459,4.552,6.235,5.3537,4.6608,4.6957,4.7335,True,0
2013-12-18,4752,6867190613,6845185545,179244717,44534059,134710658,971087,180215804,202220872,191495399,10725473,50257836,141237563,363,3188,407,126,-22005068,1.4140964693213476,0.994611532515761,0.7515460441715557,0.9469615925699302,1.4542,5.463,3.588,5.902,5.079,6.765,5.385,4.7054,4.7423,4.7634,True,0
2013-12-19,4783,6845185545,6914793558,232618878,97470048,135148830,1012479,233631357,164023344,148487287,15536057,21715384,126771903,364,3228,410,140,69608013,1.479111111516262,0.9956663394289149,0.5809882291668521,0.9052814275021731,1.5167,5.491,3.846,6.472,6.218,7.1012,5.4239,4.7487,4.7816,4.8013,True,0
2013-12-20,4854,6914793558,6894981995,132849845,39915508,92934337,1017555,133867400,153678963,133714448,19964515,33286473,100427975,345,3257,439,149,-19811563,1.4715623705392478,0.992398784170007,0.6995441884030802,0.8700894734694429,1.513,5.524,3.927,7.654,7.003,7.53,5.458,4.7818,4.8135,4.8353,True,0
2013-12-21,4890,6894981995,6923831180,110979622,43066009,67913613,1021157,112000779,83151594,72541484,10610110,22399613,50141871,287,3269,373,117,28849185,1.4810147448398088,0.9908825902005557,0.6119466959438734,0.8724004016086571,1.5109,5.558,3.927,7.654,7.003,7.53,5.458,4.7818,4.8135,4.8353,False,1
2013-12-22,4935,6923831180,6994376148,153531785,70446218,83085567,1011432,154543217,83998249,63282332,20715917,16987033,46295299,296,3248,354,110,70544968,1.4607981819683824,0.9934553452449485,0.5411619945667928,0.7533767995568574,1.5107,5.592,3.927,7.654,7.003,7.53,5.458,4.7818,4.8135,4.8353,False,2
